adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/pcIXV6Od8KeDsLWKu7Wzthaur4V.jpg,"[80, 18]",425336,es,Loving Pablo,The film chronicles the rise and fall of the world's most feared drug lord Pablo Escobar and his volatile love affair with Colombia's most famous journalist Virginia Vallejo throughout a reign of terror that tore a country apart.,1.9311,/aV3kKzTCycGfZc5Lh29Tk6avKPL.jpg,2017-10-12,Loving Pablo,False,6.294,1032
False,/hvdRLJSKy2a3Ulzrl1Wlnqq2pKZ.jpg,[18],407439,en,Mary Magdalene,"In the first century, free-spirited Mary Magdalene flees the marriage her family has arranged for her, finding refuge and a sense of purpose in a radical new movement led by the charismatic, rabble-rousing preacher named Jesus.",1.5953,/oLbqnVAmD8ISel1SLTY3Ek0TWz8.jpg,2018-03-15,Mary Magdalene,False,6.3,568
False,/o8bs4oCB3qCooYfpMhXY4evNVLi.jpg,"[53, 37, 12]",12146,en,The Missing,"When rancher and single mother of two Maggie Gilkeson sees her teenage daughter, Lily, kidnapped by Apache rebels, she reluctantly accepts the help of her estranged father, Samuel, in tracking down the kidnappers. Along the way, the two must learn to reconcile the past and work together if they are going to have any hope of getting Lily back before she is taken over the border and forced to become a prostitute.",2.4146,/86s5nw5F1G8lJtEowO0LBB4hoBW.jpg,2003-11-26,The Missing,False,6.294,682
False,/2sZ3SYWN4ApotMkDyG79Y5YkAhP.jpg,"[35, 18]",10699,en,Hero,"Bernie Laplante is having a rough time. He's divorced, his ex-wife hates him and has custody of their son, the cops are setting a trap for him, then to top it all, he loses a shoe whilst rescuing passengers of a crashed jet. Being a thief who is down on his luck, Bernie takes advantage of the crash, but then someone else claims credit for the rescue.",4.5204,/wD7D0B9U9ooanxyhtgLKaqM7www.jpg,1992-10-02,Hero,False,6.3,522
False,/c2B8gl2ZLbelWxS0ZODPKGJxdWX.jpg,"[18, 28, 53, 80]",9882,en,The Siege,"The secret US abduction of a suspected terrorist from his Middle East homeland leads to a wave of terrorist attacks in New York.  An FBI senior agent and his team attempt to locate and decommission the enemy cells, but must also deal with an Army General gone rogue and a female CIA agent of uncertain loyalties.",3.3677,/gbeeWu8rYaIYMyq9ayN1AepjNxP.jpg,1998-11-06,The Siege,False,6.294,1449
False,/jIkH6cy0Haa1cyitn6gtKmE3lxu.jpg,"[53, 80, 28]",738652,en,Copshop,"On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station. However, when the hit man turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",3.0088,/9LEWWWEhS7SZXFDuH1YYhs0VFct.jpg,2021-09-09,Copshop,False,6.3,878
False,/g81Zk4WryPdZ9hhHtK51ifahj4r.jpg,[35],439998,it,Omicidio all'italiana,"To save his crumbling and rapidly-depopulating rural town, its mayor fakes a gruesome murder to attract media attention. His plan initially succeeds, but soon the situation will spiral out of control.",0.1482,/yMajbhnmtiXT5bfZU8Q06FRGg06.jpg,2017-03-02,Omicidio all'italiana,False,6.3,409
False,/mORSowyx92dlvx9zYOKXZx0NpAW.jpg,"[18, 14, 53]",149509,en,Horns,"In the aftermath of his girlfriend's mysterious death, a young man awakens to strange horns sprouting from his temples.",2.8325,/tjTy6W05mPXXw87IqpjeGNhIcM4.jpg,2013-09-06,Horns,False,6.293,2401
False,/xEm9JBfXdQyVvJ2FEEpzZIICZBc.jpg,"[878, 18, 9648, 53]",86812,en,Sound of My Voice,A journalist and his girlfriend get pulled in while they investigate a cult whose leader claims to be from the future.,0.5877,/6wStc532wuBrW2NZM3TicEWDmaL.jpg,2011-01-22,Sound of My Voice,False,6.293,416
False,/ga8A76kyH4MhDEeIKx4xgeY75y8.jpg,[35],44268,it,Super Fantozzi,"Superfantozzi (1986) is an Italian film from 1986. It is the fifth film in the saga of the unlucky clerk Ugo Fantozzi, played by its creator, Paolo Villaggio. In this film, Fantozzi is portrayed in a surreal historical journey, from Genesis to 1980s.",0.9852,/rS6SZB9cIlVT6mxSGH9ZyEuLhhP.jpg,1986-12-23,Super Fantozzi,False,6.293,309
